Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
1,VVVVVV,7848,587,7848,49,16/10/2015,12/11/2025,16.29 MB,16678,The source code to VVVVVV! http://thelettervsixtim.es/,ActionScript,https://github.com/TerryCavanagh/VVVVVV
2,open-source-flash,7318,112,7318,31,26/07/2017,24/02/2021,109.00 KB,109,Petition to open source Flash and Shockwave spec,ActionScript,https://github.com/open-source-flash/open-source-flash
3,Starling-Framework,2984,822,2984,93,24/07/2011,12/09/2025,30.69 MB,31426,The Cross Platform Game Engine,ActionScript,https://github.com/Gamua/Starling-Framework
4,webcamjs,2507,1112,2507,164,03/03/2014,22/04/2020,376.00 KB,376,HTML5 Webcam Image Capture Library with Flash Fallback,ActionScript,https://github.com/jhuckaby/webcamjs
5,as3corelib,1501,447,1501,120,28/07/2010,18/08/2024,2.80 MB,2863," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.",ActionScript,https://github.com/mikechambers/as3corelib
6,mapgen2,1354,212,1354,1,22/06/2010,07/05/2025,202.00 KB,202,"Map generator for games written in Flash. *There's an HTML5 version* on github/redblobgames/mapgen2 . Generates island maps with a focus on mountains, rivers, coastlines.",ActionScript,https://github.com/amitp/mapgen2
7,scratch-flash,1349,516,1349,0,12/05/2014,05/02/2019,9.96 MB,10200,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.,ActionScript,https://github.com/scratchfoundation/scratch-flash
8,flixel,1137,194,1137,75,18/10/2009,05/11/2015,9.84 MB,10081,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects.",ActionScript,https://github.com/AdamAtomic/flixel
9,as3-signals,1060,199,1060,9,10/09/2009,19/05/2025,3.05 MB,3124,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt. ",ActionScript,https://github.com/robertpenner/as3-signals
10,bfxr,1016,90,1016,10,24/02/2011,17/04/2025,98.59 MB,100957,Flash + AIR sound effects generator.   Based on Sfxr.,ActionScript,https://github.com/increpare/bfxr
