Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,VVVVVV,7917,592,7917,54,16/10/2015,26/02/2026,16.25 MB,The source code to VVVVVV! http://thelettervsixtim.es/,ActionScript,https://github.com/TerryCavanagh/VVVVVV,16.25 MB
2,open-source-flash,7320,112,7320,31,26/07/2017,24/02/2021,109.00 KB,Petition to open source Flash and Shockwave spec,ActionScript,https://github.com/open-source-flash/open-source-flash,109.00 KB
3,Starling-Framework,3025,817,3025,97,24/07/2011,22/02/2026,30.72 MB,The Cross Platform Game Engine,ActionScript,https://github.com/Gamua/Starling-Framework,30.72 MB
4,webcamjs,2509,1109,2509,164,03/03/2014,22/04/2020,376.00 KB,HTML5 Webcam Image Capture Library with Flash Fallback,ActionScript,https://github.com/jhuckaby/webcamjs,376.00 KB
5,as3corelib,1500,448,1500,120,28/07/2010,18/08/2024,2.80 MB," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.",ActionScript,https://github.com/mikechambers/as3corelib,2.80 MB
6,mapgen2,1363,212,1363,1,22/06/2010,07/05/2025,202.00 KB,"Map generator for games written in Flash. *There's an HTML5 version* on github/redblobgames/mapgen2 . Generates island maps with a focus on mountains, rivers, coastlines.",ActionScript,https://github.com/amitp/mapgen2,202.00 KB
7,scratch-flash,1356,517,1356,0,12/05/2014,05/02/2019,9.96 MB,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.,ActionScript,https://github.com/scratchfoundation/scratch-flash,9.96 MB
8,flixel,1138,195,1138,75,18/10/2009,05/11/2015,9.84 MB,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects.",ActionScript,https://github.com/AdamAtomic/flixel,9.84 MB
9,as3-signals,1063,200,1063,9,10/09/2009,19/05/2025,3.05 MB,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt. ",ActionScript,https://github.com/robertpenner/as3-signals,3.05 MB
10,bfxr,1023,91,1023,10,24/02/2011,17/04/2025,98.59 MB,Flash + AIR sound effects generator.   Based on Sfxr.,ActionScript,https://github.com/increpare/bfxr,98.59 MB
