Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,AFNetworking,33730,10493,33730,102,31/05/2011,17/01/2023,5.99 MB,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",Objective-C,https://github.com/AFNetworking/AFNetworking,5.99 MB
2,SDWebImage,25931,5990,25931,123,21/09/2009,12/02/2026,25.03 MB,Asynchronous image downloader with cache support as a UIImageView category,Objective-C,https://github.com/SDWebImage/SDWebImage,25.03 MB
3,WeChatExtension-ForMac,22685,3592,22685,906,25/04/2019,13/02/2025,203.75 MB,A plugin for Mac WeChat,Objective-C,https://github.com/MustangYM/WeChatExtension-ForMac,203.75 MB
4,TrollStore,20895,1466,20895,47,02/09/2022,02/09/2024,10.43 MB,Jailed iOS app that can install IPAs permanently with arbitary entitlements and root helpers because it trolls Apple,Objective-C,https://github.com/opa334/TrollStore,10.43 MB
5,GPUImage,20344,4590,20344,1001,13/02/2012,16/02/2024,43.81 MB,An open source iOS framework for GPU-based image and video processing,Objective-C,https://github.com/BradLarson/GPUImage,43.81 MB
6,Masonry,18396,3154,18396,151,22/07/2013,13/04/2023,767.00 KB,"Harness the power of AutoLayout NSLayoutConstraints with a simplified, chainable and expressive syntax. Supports iOS and OSX Auto Layout",Objective-C,https://github.com/SnapKit/Masonry,767.00 KB
7,iTerm2,16985,1304,16985,48,07/04/2011,20/02/2026,456.84 MB,iTerm2 is a terminal emulator for Mac OS X that does amazing things.,Objective-C,https://github.com/gnachman/iTerm2,456.84 MB
8,realm-swift,16596,2211,16596,494,16/04/2012,12/11/2025,66.54 MB,Realm is a mobile database: a replacement for Core Data & SQLite,Objective-C,https://github.com/realm/realm-swift,66.54 MB
9,MBProgressHUD,15995,3577,15995,94,31/05/2009,14/08/2024,1.22 MB,MBProgressHUD + Customizations,Objective-C,https://github.com/jdg/MBProgressHUD,1.22 MB
10,keycastr,14601,555,14601,92,19/02/2009,07/12/2025,56.87 MB,"KeyCastr, an open-source keystroke visualizer",Objective-C,https://github.com/keycastr/keycastr,56.87 MB
