Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,gradle,18655,5137,18655,3518,09/09/2009,11/06/2026,725.64 MB,"Adaptable, fast automation for all",Groovy,https://github.com/gradle/gradle,725.64 MB
2,devops-resources,9566,2387,9566,28,07/01/2019,12/07/2024,1.78 MB,"DevOps resources - Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP",Groovy,https://github.com/bregman-arie/devops-resources,1.78 MB
3,rundeck,6136,971,6136,692,03/09/2010,11/06/2026,220.02 MB,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts",Groovy,https://github.com/rundeck/rundeck,220.02 MB
4,pipeline-examples,4297,3569,4297,15,24/11/2015,31/08/2023,127.00 KB,"A collection of examples, tips and tricks and snippets of scripting for the Jenkins Pipeline plugin",Groovy,https://github.com/jenkinsci/pipeline-examples,127.00 KB
5,gradle_plugin_android_aspectjx,3961,574,3961,153,25/04/2016,15/09/2021,16.60 MB,"A Android gradle plugin that effects AspectJ on Android project and can hook methods in Kotlin, aar and jar file.",Groovy,https://github.com/HujiangTechnology/gradle_plugin_android_aspectjx,16.60 MB
6,nextflow,3413,783,3413,481,27/03/2013,11/06/2026,69.71 MB,A DSL for data-driven computational pipelines,Groovy,https://github.com/nextflow-io/nextflow,69.71 MB
7,fat-aar-android,3288,705,3288,166,19/12/2018,25/07/2024,7.07 MB,A gradle plugin that merge dependencies into the final aar file works with AGP 3.+,Groovy,https://github.com/kezong/fat-aar-android,7.07 MB
8,grails-core,2916,974,2916,829,10/02/2010,11/06/2026,490.16 MB,Grails - the Web Application Framework,Groovy,https://github.com/apache/grails-core,490.16 MB
9,SmartThingsPublic,2649,87127,2649,2507,04/08/2015,18/07/2023,20.57 MB,SmartThings open-source DeviceType Handlers and SmartApps code,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,20.57 MB
10,asgard,2228,391,2228,15,21/05/2012,10/04/2023,25.97 MB,[Asgard is deprecated at Netflix. We use Spinnaker ( www.spinnaker.io ).] Web interface for application deployments and cloud management in Amazon Web Services (AWS). Binary download: http://github.com/Netflix/asgard/releases,Groovy,https://github.com/Netflix/asgard,25.97 MB
