Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,neovim,99650,6905,99650,1926,31/01/2014,15/05/2026,373.50 MB,Vim-fork focused on extensibility and usability,Vim Script,https://github.com/neovim/neovim,373.50 MB
2,vim,40353,6043,40353,1664,18/08/2015,14/05/2026,214.10 MB,The official Vim repository,Vim Script,https://github.com/vim/vim,214.10 MB
3,vim-plug,35652,1948,35652,84,10/09/2013,18/02/2026,8.58 MB,:hibiscus: Minimalist Vim Plugin Manager,Vim Script,https://github.com/junegunn/vim-plug,8.58 MB
4,vimrc,31759,7266,31759,21,29/05/2012,06/10/2024,31.71 MB,The ultimate Vim configuration (vimrc),Vim Script,https://github.com/amix/vimrc,31.71 MB
5,Vundle.vim,23964,2544,23964,204,17/10/2010,30/07/2024,948.00 KB,"Vundle, the plug-in manager for Vim",Vim Script,https://github.com/VundleVim/Vundle.vim,948.00 KB
6,vim-fugitive,21606,1060,21606,130,09/10/2009,07/03/2026,2.61 MB,"fugitive.vim: A Git wrapper so awesome, it should be illegal",Vim Script,https://github.com/tpope/vim-fugitive,2.61 MB
7,SpaceVim,20271,1413,20271,5,26/12/2016,17/02/2025,69.01 MB,A modular configuration of Vim and Neovim,Vim Script,https://github.com/wsdjeg/SpaceVim,69.01 MB
8,nerdtree,20075,1444,20075,38,10/03/2008,26/09/2025,1.96 MB,A tree explorer plugin for vim.,Vim Script,https://github.com/preservim/nerdtree,1.96 MB
9,vim-airline,17945,1100,17945,35,30/06/2013,02/05/2026,3.91 MB,lean & mean status/tabline for vim that's light as air,Vim Script,https://github.com/vim-airline/vim-airline,3.91 MB
10,vim-galore,17841,629,17841,11,04/01/2016,22/12/2023,952.00 KB,:mortar_board: All things Vim!,Vim script,https://github.com/mhinz/vim-galore,952.00 KB
