Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,julia,48814,5790,48814,4702,21/04/2011,12/06/2026,364.13 MB,The Julia Programming Language,Julia,https://github.com/JuliaLang/julia,364.13 MB
2,Flux.jl,4727,619,4727,192,01/04/2016,08/06/2026,13.30 MB,Relax! Flux is the ML library that doesn't make you tensor,Julia,https://github.com/FluxML/Flux.jl,13.30 MB
3,DifferentialEquations.jl,3114,249,3114,166,11/05/2016,08/06/2026,173.38 MB,"Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML) components. Ordinary differential equations (ODEs), stochastic differential equations (SDEs), delay differential equations (DDEs), differential-algebraic equations (DAEs), and more in Julia.",Julia,https://github.com/SciML/DifferentialEquations.jl,173.38 MB
4,IJulia.jl,2890,426,2890,34,05/03/2013,09/06/2026,8.68 MB,Julia kernel for Jupyter,Julia,https://github.com/JuliaLang/IJulia.jl,8.68 MB
5,computational-thinking,2818,498,2818,6,25/08/2020,06/05/2026,909.06 MB,"Course 18.S191 at MIT, Fall 2022 - Introduction to computational thinking with Julia",Julia,https://github.com/mitmath/computational-thinking,909.06 MB
6,Makie.jl,2771,387,2771,990,25/09/2017,11/06/2026,747.54 MB,Interactive data visualizations and plotting in Julia,Julia,https://github.com/MakieOrg/Makie.jl,747.54 MB
7,JuMP.jl,2447,418,2447,13,10/10/2012,11/06/2026,399.11 MB,"Modeling language for Mathematical Optimization (linear, mixed-integer, conic, semidefinite, nonlinear)",Julia,https://github.com/jump-dev/JuMP.jl,399.11 MB
8,Genie.jl,2408,185,2408,126,19/02/2016,11/06/2026,54.83 MB,🧞The highly productive Julia web framework,Julia,https://github.com/GenieFramework/Genie.jl,54.83 MB
9,Turing.jl,2243,239,2243,31,29/04/2016,11/06/2026,46.39 MB,Bayesian inference with probabilistic programming.,Julia,https://github.com/TuringLang/Turing.jl,46.39 MB
10,Plots.jl,1944,387,1944,942,25/08/2015,09/06/2026,119.19 MB,Powerful convenience for Julia visualizations and data analysis,Julia,https://github.com/JuliaPlots/Plots.jl,119.19 MB
11,Gadfly.jl,1927,248,1927,276,06/08/2012,04/10/2025,276.71 MB,Crafty statistical graphics for Julia.,Julia,https://github.com/GiovineItalia/Gadfly.jl,276.71 MB
12,MLJ.jl,1926,159,1926,89,01/08/2018,03/06/2026,50.81 MB,A Julia machine learning framework,Julia,https://github.com/JuliaAI/MLJ.jl,50.81 MB
13,Gen.jl,1841,163,1841,168,21/08/2018,09/06/2026,43.64 MB,A general-purpose probabilistic programming system with programmable inference,Julia,https://github.com/probcomp/Gen.jl,43.64 MB
14,DataFrames.jl,1829,372,1829,161,11/07/2012,02/05/2026,31.24 MB,In-memory tabular data in Julia,Julia,https://github.com/JuliaData/DataFrames.jl,31.24 MB
15,ModelingToolkit.jl,1634,255,1634,592,27/02/2018,11/06/2026,855.77 MB,An acausal modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra system for integrated symbolics for physics-informed machine learning and automated transformations of differential equations,Julia,https://github.com/SciML/ModelingToolkit.jl,855.77 MB
