Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,SecLists,70146,24956,70146,11,19/02/2012,09/04/2026,3.04 GB,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",PHP,https://github.com/danielmiessler/SecLists,3.04 GB
2,coolify,52849,4022,52849,715,25/01/2021,09/04/2026,59.19 MB,"An open-source, self-hostable PaaS alternative to Vercel, Heroku & Netlify that lets you easily deploy static sites, databases, full-stack applications and 280+ one-click services on your own servers.",PHP,https://github.com/coollabsio/coolify,59.19 MB
3,framework,34632,11837,34632,120,10/01/2013,09/04/2026,96.79 MB,"Laravel is a web application framework with expressive, elegant syntax.",PHP,https://github.com/laravel/framework,96.79 MB
4,server,34578,4811,34578,3324,02/06/2016,10/04/2026,6.00 GB,"☁️ Nextcloud server, a safe home for all your data",PHP,https://github.com/nextcloud/server,6.00 GB
5,symfony,30986,9817,30986,565,04/01/2010,09/04/2026,315.26 MB,The Symfony PHP framework,PHP,https://github.com/symfony/symfony,315.26 MB
6,jQuery-File-Upload,30788,7800,30788,53,01/12/2010,08/04/2026,4.50 MB,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",PHP,https://github.com/blueimp/jQuery-File-Upload,4.50 MB
7,filament,30187,4125,30187,54,19/03/2020,09/04/2026,538.47 MB,A powerful open-source UI framework for Laravel • Build and ship apps & admin panels fast with Livewire,PHP,https://github.com/filamentphp/filament,538.47 MB
8,composer,29363,4775,29363,131,08/06/2011,08/04/2026,28.42 MB,Dependency Manager for PHP,PHP,https://github.com/composer/composer,28.42 MB
9,Faker,26694,3595,26694,224,14/10/2011,20/03/2024,9.86 MB,Faker is a PHP library that generates fake data for you,PHP,https://github.com/fzaninotto/Faker,9.86 MB
10,bagisto,26333,3040,26333,50,10/09/2018,09/04/2026,363.61 MB,Free and open source laravel eCommerce platform,PHP,https://github.com/bagisto/bagisto,363.61 MB
