Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,animate.css,82641,16064,82641,76,12/10/2011,29/07/2024,1.96 MB,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,CSS,https://github.com/animate-css/animate.css,1.96 MB
2,nerd-fonts,62212,3871,62212,63,05/12/2014,17/03/2026,26.17 GB,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",CSS,https://github.com/ryanoasis/nerd-fonts,26.17 GB
3,normalize.css,53764,10452,53764,74,04/05/2011,12/06/2024,379.00 KB,A modern alternative to CSS resets,CSS,https://github.com/necolas/normalize.css,379.00 KB
4,bulma,50066,3902,50066,521,23/01/2016,01/03/2026,113.66 MB,Modern CSS framework based on Flexbox,CSS,https://github.com/jgthms/bulma,113.66 MB
5,AdminLTE,45325,18266,45325,8,25/12/2013,26/03/2026,136.11 MB,AdminLTE - Free admin dashboard template based on Bootstrap 5,CSS,https://github.com/ColorlibHQ/AdminLTE,136.11 MB
6,CppCoreGuidelines,44868,5546,44868,250,19/08/2015,12/03/2026,25.98 MB,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",CSS,https://github.com/isocpp/CppCoreGuidelines,25.98 MB
7,50projects50days,40487,9775,40487,48,16/11/2020,26/02/2025,482.00 KB,"50+ mini web projects using HTML, CSS & JS",CSS,https://github.com/bradtraversy/50projects50days,482.00 KB
8,freecodecamp.cn,37626,1412,37626,157,30/09/2016,16/07/2023,30.23 MB,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,CSS,https://github.com/FreeCodeCampChina/freecodecamp.cn,30.23 MB
9,awesome-english-ebooks,30142,2450,30142,0,28/06/2022,26/03/2026,13.51 GB,"经济学人(含音频)、纽约客、卫报、连线、大西洋月刊等英语杂志免费下载,支持epub、mobi、pdf格式, 每周更新",CSS,https://github.com/hehonghui/awesome-english-ebooks,13.51 GB
10,hangzhou_house_knowledge,27123,5240,27123,103,24/02/2018,28/02/2022,847.69 MB,"2017年买房经历总结出来的买房购房知识分享给大家，希望对大家有所帮助。买房不易，且买且珍惜。Sharing the knowledge of buy an own house that according  to the experience at hangzhou in 2017 to all the people. It's not easy to buy a own house, so I hope that it would be useful to everyone.",CSS,https://github.com/houshanren/hangzhou_house_knowledge,847.69 MB
