Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,animate.css,82779,15905,82779,80,12/10/2011,29/07/2024,1.96 MB,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,CSS,https://github.com/animate-css/animate.css,1.96 MB
2,nerd-fonts,64570,3955,64570,20,05/12/2014,05/09/2026,27.99 GB,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",CSS,https://github.com/ryanoasis/nerd-fonts,27.99 GB
3,normalize.css,53523,10326,53523,75,04/05/2011,12/06/2024,379.00 KB,A modern alternative to CSS resets,CSS,https://github.com/necolas/normalize.css,379.00 KB
4,bulma,50061,3880,50061,529,23/01/2016,01/03/2026,113.66 MB,Modern CSS framework based on Flexbox,CSS,https://github.com/jgthms/bulma,113.66 MB
5,CppCoreGuidelines,45309,5557,45309,246,19/08/2015,06/08/2026,26.54 MB,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",CSS,https://github.com/isocpp/CppCoreGuidelines,26.54 MB
6,50projects50days,40641,9722,40641,48,16/11/2020,26/02/2025,482.00 KB,"50+ mini web projects using HTML, CSS & JS",CSS,https://github.com/bradtraversy/50projects50days,482.00 KB
7,freecodecamp.cn,37789,1420,37789,159,30/09/2016,16/07/2023,30.23 MB,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,CSS,https://github.com/FreeCodeCampChina/freecodecamp.cn,30.23 MB
8,awesome-english-ebooks,36192,3024,36192,0,28/06/2022,10/09/2026,14.58 GB,"经济学人(含音频)、纽约客、卫报、连线、大西洋月刊等英语杂志免费下载,支持epub、mobi、pdf格式, 每周更新",CSS,https://github.com/hehonghui/awesome-english-ebooks,14.58 GB
9,hallmark,28404,1450,28404,46,27/04/2026,06/08/2026,88.30 MB,"Anti-AI-slop design skill for Claude Code, Cursor, and Codex.",CSS,https://github.com/Nutlope/hallmark,88.30 MB
10,hangzhou_house_knowledge,26865,5173,26865,103,24/02/2018,28/02/2022,847.69 MB,"2017年买房经历总结出来的买房购房知识分享给大家，希望对大家有所帮助。买房不易，且买且珍惜。Sharing the knowledge of buy an own house that according  to the experience at hangzhou in 2017 to all the people. It's not easy to buy a own house, so I hope that it would be useful to everyone.",CSS,https://github.com/houshanren/hangzhou_house_knowledge,847.69 MB
