Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,linux,229362,61656,229362,3,04/09/2011,16/04/2026,5.84 GB,Linux kernel source tree,C,https://github.com/torvalds/linux,5.84 GB
2,scrcpy,138588,12900,138588,2779,21/11/2017,16/04/2026,8.11 MB,Display and control your Android device,C,https://github.com/Genymobile/scrcpy,8.11 MB
3,netdata,78480,6412,78480,278,17/06/2013,16/04/2026,259.12 MB,"The fastest path to AI-powered full stack observability, even for lean teams.",C,https://github.com/netdata/netdata,259.12 MB
4,Ventoy,75897,4750,75897,936,10/03/2020,14/04/2026,213.40 MB,A new bootable USB solution.,C,https://github.com/ventoy/Ventoy,213.40 MB
5,redis,73869,24578,73869,2813,21/03/2009,16/04/2026,205.37 MB,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,https://github.com/redis/redis,205.37 MB
6,obs-studio,71703,9159,71703,1124,01/10/2013,16/04/2026,78.47 MB,OBS Studio - Free and open source software for live streaming and screen recording,C,https://github.com/obsproject/obs-studio,78.47 MB
7,git,60367,27815,60367,366,23/07/2008,16/04/2026,295.85 MB,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,https://github.com/git/git,295.85 MB
8,FFmpeg,59058,13722,59058,3,14/04/2011,16/04/2026,462.00 MB,Mirror of https://git.ffmpeg.org/ffmpeg.git,C,https://github.com/FFmpeg/FFmpeg,462.00 MB
9,tmux,44600,2579,44600,78,03/06/2015,16/04/2026,18.83 MB,tmux source code,C,https://github.com/tmux/tmux,18.83 MB
10,curl,41326,7130,41326,28,18/03/2010,16/04/2026,132.14 MB,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,https://github.com/curl/curl,132.14 MB
