Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,FriendsDontLetFriends,7024,284,7024,11,24/05/2022,03/09/2025,10.21 MB,Friends don't let friends make certain types of data visualization - What are they and why are they bad. ,R,https://github.com/cxli233/FriendsDontLetFriends,10.21 MB
2,ggplot2,6891,2132,6891,105,25/05/2008,18/03/2026,1.25 GB,An implementation of the Grammar of Graphics in R,R,https://github.com/tidyverse/ggplot2,1.25 GB
3,awesome-R,6429,1513,6429,21,19/07/2014,18/09/2025,1.22 MB,"A curated list of awesome R packages, frameworks and software.",R,https://github.com/qinwf/awesome-R,1.22 MB
4,shiny,5634,1884,5634,877,20/06/2012,18/03/2026,63.99 MB,Easy interactive web applications with R,R,https://github.com/rstudio/shiny,63.99 MB
5,r4ds,5020,4410,5020,20,27/07/2015,27/02/2026,76.66 MB,R for data science: a book,R,https://github.com/hadley/r4ds,76.66 MB
6,dplyr,5013,2135,5013,81,28/10/2012,26/02/2026,75.56 MB,dplyr: A grammar of data manipulation,R,https://github.com/tidyverse/dplyr,75.56 MB
7,swirl_courses,4533,7230,4533,208,23/02/2014,10/01/2024,47.26 MB,:mortar_board: A collection of interactive courses for the swirl R package.,R,https://github.com/swirldev/swirl_courses,47.26 MB
8,stat_rethinking_2022,4100,437,4100,12,08/10/2021,15/03/2022,15.43 MB,Statistical Rethinking course winter 2022,R,https://github.com/rmcelreath/stat_rethinking_2022,15.43 MB
9,awesome-network-analysis,3970,629,3970,15,10/04/2016,12/01/2026,1.17 MB,A curated list of awesome network analysis resources.,R,https://github.com/briatte/awesome-network-analysis,1.17 MB
10,data.table,3869,1036,3869,964,07/06/2014,19/03/2026,66.48 MB,R's data.table package extends data.frame:,R,https://github.com/Rdatatable/data.table,66.48 MB
11,ML_for_Hackers,3811,2197,3811,36,10/02/2012,26/05/2019,118.29 MB,"Code accompanying the book ""Machine Learning for Hackers""",R,https://github.com/johnmyleswhite/ML_for_Hackers,118.29 MB
12,AnomalyDetection,3613,770,3613,71,09/12/2014,30/08/2019,1.34 MB,Anomaly Detection with R,R,https://github.com/twitter/AnomalyDetection,1.34 MB
