Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,the-algorithm,72888,13264,72888,511,27/03/2023,08/09/2025,8.22 MB,Source code for the X Recommendation Algorithm,Scala,https://github.com/twitter/the-algorithm,8.22 MB
2,spark,43006,29128,43006,290,25/02/2014,19/03/2026,531.13 MB,Apache Spark - A unified analytics engine for large-scale data processing,Scala,https://github.com/apache/spark,531.13 MB
3,lila,17935,2598,17935,1221,21/02/2012,20/03/2026,591.69 MB,"♞ lichess.org: the forever free, adless and open source chess server ♞",Scala,https://github.com/lichess-org/lila,591.69 MB
4,prisma1,16423,845,16423,2,25/09/2016,01/09/2022,189.37 MB,"💾 Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB) [deprecated]",Scala,https://github.com/prisma/prisma1,189.37 MB
5,scala,14447,3093,14447,25,01/12/2011,17/03/2026,158.26 MB,Scala 2 compiler and standard library. Scala 2 bugs at https://github.com/scala/bug; Scala 3 at https://github.com/scala/scala3,Scala,https://github.com/scala/scala,158.26 MB
6,akka-core,13266,3571,13266,900,16/02/2009,18/03/2026,276.13 MB,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",Scala,https://github.com/akka/akka-core,276.13 MB
7,playframework,12625,4053,12625,497,07/09/2011,18/03/2026,110.85 MB,The Community Maintained High Velocity Web Framework For Java and Scala.,Scala,https://github.com/playframework/playframework,110.85 MB
8,predictionio,12531,1917,12531,80,25/01/2013,09/01/2021,35.44 MB,"PredictionIO, a machine learning server for developers and ML engineers.",Scala,https://github.com/apache/predictionio,35.44 MB
9,bfg-repo-cleaner,12029,574,12029,275,21/12/2012,19/01/2025,1.95 MB,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala",Scala,https://github.com/rtyley/bfg-repo-cleaner,1.95 MB
10,CMAK,11942,2497,11942,520,28/01/2015,02/08/2023,3.97 MB,CMAK is a tool for managing Apache Kafka clusters,Scala,https://github.com/yahoo/CMAK,3.97 MB
