Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,julia,48677,5771,48677,4708,21/04/2011,07/05/2026,357.60 MB,The Julia Programming Language,Julia,https://github.com/JuliaLang/julia,357.60 MB
2,Flux.jl,4725,620,4725,192,01/04/2016,29/04/2026,13.12 MB,Relax! Flux is the ML library that doesn't make you tensor,Julia,https://github.com/FluxML/Flux.jl,13.12 MB
3,DifferentialEquations.jl,3094,249,3094,166,11/05/2016,27/04/2026,173.38 MB,"Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML) components. Ordinary differential equations (ODEs), stochastic differential equations (SDEs), delay differential equations (DDEs), differential-algebraic equations (DAEs), and more in Julia.",Julia,https://github.com/SciML/DifferentialEquations.jl,173.38 MB
4,IJulia.jl,2895,427,2895,34,05/03/2013,06/05/2026,8.53 MB,Julia kernel for Jupyter,Julia,https://github.com/JuliaLang/IJulia.jl,8.53 MB
5,computational-thinking,2805,498,2805,6,25/08/2020,06/05/2026,909.06 MB,"Course 18.S191 at MIT, Fall 2022 - Introduction to computational thinking with Julia",Julia,https://github.com/mitmath/computational-thinking,909.06 MB
6,Makie.jl,2754,381,2754,982,25/09/2017,07/05/2026,694.66 MB,Interactive data visualizations and plotting in Julia,Julia,https://github.com/MakieOrg/Makie.jl,694.66 MB
7,JuMP.jl,2434,415,2434,14,10/10/2012,06/05/2026,420.45 MB,"Modeling language for Mathematical Optimization (linear, mixed-integer, conic, semidefinite, nonlinear)",Julia,https://github.com/jump-dev/JuMP.jl,420.45 MB
8,Genie.jl,2404,186,2404,123,19/02/2016,27/04/2026,54.42 MB,🧞The highly productive Julia web framework,Julia,https://github.com/GenieFramework/Genie.jl,54.42 MB
9,Turing.jl,2236,237,2236,49,29/04/2016,03/05/2026,45.65 MB,Bayesian inference with probabilistic programming.,Julia,https://github.com/TuringLang/Turing.jl,45.65 MB
10,Plots.jl,1942,380,1942,934,25/08/2015,04/05/2026,118.88 MB,Powerful convenience for Julia visualizations and data analysis,Julia,https://github.com/JuliaPlots/Plots.jl,118.88 MB
