Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,v2rayN,115854,15883,115854,14,30/07/2019,10/09/2026,48.66 MB,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",C#,https://github.com/2dust/v2rayN,48.66 MB
2,shadowsocks-windows,59566,16180,59566,203,14/01/2013,01/01/2025,13.17 MB,A C# port of shadowsocks,C#,https://github.com/shadowsocks/shadowsocks-windows,13.17 MB
3,jellyfin,56913,5447,56913,683,09/12/2018,10/09/2026,75.88 MB,The Free Software Media System - Server Backend & API,C#,https://github.com/jellyfin/jellyfin,75.88 MB
4,PowerShell,55333,8460,55333,1630,13/01/2016,10/09/2026,106.39 MB,PowerShell for every system!,C#,https://github.com/PowerShell/PowerShell,106.39 MB
5,Files,45176,2879,45176,464,04/01/2019,10/09/2026,280.89 MB,A modern file manager that helps users organize their files and folders.,C#,https://github.com/files-community/Files,280.89 MB
6,ShareX,39520,3911,39520,650,08/10/2013,10/09/2026,87.96 MB,"ShareX is a free and open-source application that enables users to capture or record any area of their screen with a single keystroke. It also supports uploading images, text, and various file types to a wide range of destinations.",C#,https://github.com/ShareX/ShareX,87.96 MB
7,RevokeMsgPatcher,38734,4063,38734,62,21/07/2019,16/08/2026,3.69 MB,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,C#,https://github.com/huiyadanli/RevokeMsgPatcher,3.69 MB
8,aspnetcore,38435,10937,38435,4156,11/03/2014,10/09/2026,385.55 MB,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",C#,https://github.com/dotnet/aspnetcore,385.55 MB
9,DevToys,31973,1751,31973,341,29/09/2021,25/02/2026,223.91 MB,A Swiss Army knife for developers.,C#,https://github.com/DevToys-app/DevToys,223.91 MB
10,Avalonia,31476,2822,31476,1871,05/12/2013,10/09/2026,232.26 MB,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The future of .NET UI",C#,https://github.com/AvaloniaUI/Avalonia,232.26 MB
