Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,rails,58310,22179,58310,1493,11/04/2008,26/02/2026,270.47 MB,Ruby on Rails,Ruby,https://github.com/rails/rails,270.47 MB
2,maybe,54002,5242,54002,0,01/01/2024,24/07/2025,6.73 MB,The personal finance app for everyone,Ruby,https://github.com/maybe-finance/maybe,6.73 MB
3,jekyll,51414,10297,51414,239,20/10/2008,13/02/2026,68.55 MB,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,Ruby,https://github.com/jekyll/jekyll,68.55 MB
4,mastodon,49687,7403,49687,4409,22/02/2016,26/02/2026,343.29 MB,"Your self-hosted, globally interconnected microblogging community",Ruby,https://github.com/mastodon/mastodon,343.29 MB
5,huginn,48773,4223,48773,698,10/03/2013,24/02/2026,8.69 MB,Create agents that monitor and act on your behalf.  Your agents are standing by!,Ruby,https://github.com/huginn/huginn,8.69 MB
6,brew,46743,10970,46743,24,06/03/2016,27/02/2026,105.97 MB,🍺 The missing package manager for macOS (or Linux),Ruby,https://github.com/Homebrew/brew,105.97 MB
7,discourse,46426,8823,46426,141,12/01/2013,27/02/2026,833.65 MB,"A platform for community discussion. Free, open, simple.",Ruby,https://github.com/discourse/discourse,833.65 MB
8,fastlane,41089,5984,41089,874,02/12/2014,26/02/2026,81.04 MB,🚀 The easiest way to automate building and releasing your iOS and Android apps,Ruby,https://github.com/fastlane/fastlane,81.04 MB
9,devdocs,38548,2570,38548,234,24/10/2013,23/02/2026,31.74 MB,API Documentation Browser,Ruby,https://github.com/freeCodeCamp/devdocs,31.74 MB
10,metasploit-framework,37605,14771,37605,530,30/08/2011,26/02/2026,1.15 GB,Metasploit Framework,Ruby,https://github.com/rapid7/metasploit-framework,1.15 GB
11,engineering-blogs,37176,1949,37176,143,13/06/2015,21/08/2024,1.31 MB,A curated list of engineering blogs,Ruby,https://github.com/kilimchoi/engineering-blogs,1.31 MB
12,awesome-awesomeness,33250,3588,33250,43,08/07/2014,02/06/2024,381.00 KB,A curated list of awesome awesomeness,Ruby,https://github.com/bayandin/awesome-awesomeness,381.00 KB
13,chatwoot,27426,6419,27426,1012,14/08/2019,26/02/2026,221.20 MB,"Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬",Ruby,https://github.com/chatwoot/chatwoot,221.20 MB
14,vagrant,27206,4442,27206,735,21/01/2010,11/02/2026,80.44 MB,Vagrant is a tool for building and distributing development environments.,Ruby,https://github.com/hashicorp/vagrant,80.44 MB
15,awesome-swift,25927,3117,25927,21,10/07/2014,16/01/2026,6.81 MB,A collaborative list of awesome Swift libraries and resources. Feel free to contribute!,Ruby,https://github.com/matteocrippa/awesome-swift,6.81 MB
16,devise,24333,5510,24333,214,16/09/2009,18/02/2026,5.76 MB,Flexible authentication solution for Rails with Warden.,Ruby,https://github.com/heartcombo/devise,5.76 MB
17,gitlabhq,24240,5785,24240,36,02/10/2011,27/02/2026,2.26 GB,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,Ruby,https://github.com/gitlabhq/gitlabhq,2.26 GB
18,ruby,23507,5566,23507,563,27/02/2010,26/02/2026,359.42 MB,The Ruby Programming Language,Ruby,https://github.com/ruby/ruby,359.42 MB
19,forem,22607,4153,22607,263,13/11/2016,26/02/2026,1.65 GB,For empowering community 🌱,Ruby,https://github.com/forem/forem,1.65 GB
